country_code,country_name,region,income_level,som_row,som_col,macro_cluster,gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct,co2_tons_per_capita_2018
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,5,0,3,629.538899449007,58.967,27.94020081,54.6176465524521,18.949,50.3,0.04465300634130933
SRB,Serbia,Europe & Central Asia,Upper middle income,3,9,4,13679.2065983557,75.9682926829268,87.69071294,62.3830029804177,7.24,100.0,6.521922194069719
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,4,3,0,3490.56883486557,69.905,59.11759949,68.8710170184884,9.057,81.3,0.6660735440345977
SUR,Suriname,Latin America & Caribbean,Upper middle income,2,8,4,6961.78955961526,73.757,87.4,65.7641857200885,7.621,99.6,3.4694827301493043
SVK,Slovak Republic,Europe & Central Asia,High income,2,9,4,25992.6748502048,78.3707317073171,89.82507032,53.1919702985684,5.3,100.0,6.058635474118519
SVN,Slovenia,Europe & Central Asia,High income,6,6,1,34301.0318686594,82.2853658536585,90.76355487,55.7577708405917,3.7,100.0,6.774695331583967
SWE,Sweden,Europe & Central Asia,High income,8,6,1,57117.4877440616,84.0634146341463,95.52930428,88.8559748346228,8.4,100.0,3.538009126884211
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,8,0,3,3909.55892378182,64.264,63.40309906,26.2498461258639,34.643,86.4,0.9324775071882039
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,4,2,3,1051.67149587463,72.56,33.77000046,72.0761345758254,13.359,88.4,1.4255910188276595
TCD,Chad,Sub-Saharan Africa,Low income,0,0,2,961.55975562506,55.238,12.62689972,26.9315292389497,1.053,12.0,0.06622708798070576
TGO,Togo,Sub-Saharan Africa,Low income,1,3,2,1119.38160509429,62.935,39.48320007,43.8148491605996,1.948,59.2,0.27364823222031154
THA,Thailand,East Asia & Pacific,Upper middle income,3,7,4,7346.62022142185,76.564,90.86718789,61.8689338391321,0.781,100.0,3.612694947840999
TJK,Tajikistan,Europe & Central Asia,Lower middle income,0,5,0,1341.20229027672,71.927,55.79339981,26.1788063651548,7.041,100.0,0.7875510632315401
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,0,4,0,1331.9705130185,67.904,35.04199982,28.6641074179574,1.523,100.0,0.5015835148308057
TON,Tonga,East Asia & Pacific,Upper middle income,0,6,0,5651.59373063157,73.07,67.4417038,21.1505271125521,1.965,100.0,1.7998048632621937
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,4,9,1,18733.4110406494,73.617,82.15989685,53.961056681951,3.318,98.7,13.066577005620246
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,2,4,4181.13789301228,76.711,76.5,70.3585355691955,15.341,100.0,2.548124969295859
TUR,Turkiye,Europe & Central Asia,Upper middle income,8,4,4,15892.7157287241,77.421,87.3078767,89.3443122873887,8.8,100.0,5.072892566117368
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,0,2,2,1186.71691894531,67.212,31.16209984,36.1684458862992,1.557,48.3,0.20161169222460482
UGA,Uganda,Sub-Saharan Africa,Low income,0,2,2,1077.91278452817,68.487,8.949831061,31.2777698213557,2.74,51.5,0.14747690236242358
UKR,Ukraine,Europe & Central Asia,Upper middle income,7,3,4,5389.47314453125,74.692,82.47489929,69.5315643200148,9.834,100.0,4.100298200086987
URY,Uruguay,Latin America & Caribbean,High income,8,5,1,23906.5133029408,78.287,91.99109007,95.5981951588181,8.209,100.0,1.920734922672744
USA,United States,North America,High income,6,9,1,84534.0407841548,78.890243902439,94.69380188,80.1247798047184,4.022,100.0,15.16240956289911
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,1,7,0,3161.70010632875,72.528,89.50550079,50.9986686706543,4.439,100.0,3.4624008718244466
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,7,1,3,11501.2265187188,71.382,76.19010162,47.8487050456749,18.093,100.0,2.668547357185064
VEN,"Venezuela, RB",Latin America & Caribbean,Not classified,4,6,4,4217.59102643391,72.673,76.67890167,89.285859883201,5.321,100.0,4.635060759017367
VNM,Viet Nam,East Asia & Pacific,Lower middle income,0,7,0,4717.29028732449,74.736,84.15,38.4900703430176,1.602,99.8,2.679417950119745
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,4,0,3,633.887202451545,69.439,17.49099922,36.8077517596594,16.97,83.6,0.27313921926542745
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,8,0,3,6267.186814093,66.312,78.35759735,63.6917984858172,32.279,87.7,7.391704785769287
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2,1,2,1187.10943350064,66.528,17.10099983,45.4703838491279,5.898,51.1,0.43063233573699244
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,3,1,2,2497.20332208763,63.064,41.64279938,39.8933716820696,9.435,62.0,0.8161255228990055
