country_code,country_name,region,income_level,capital_city,latitude,longitude,gdp_per_capita,gdp_per_capita_year,life_expectancy,life_expectancy_year,internet_users_pct,internet_users_pct_year,urban_population_pct,urban_population_pct_year,unemployment_pct,unemployment_pct_year,electricity_access_pct,electricity_access_pct_year,co2_mt_total_2018,population_2018,co2_tons_per_capita_2018
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Yaounde,3.8721,11.5174,1830.00833684727,2024.0,63.968,2024,46.25880051,2024.0,55.4031748609078,2024,3.603,2024.0,72.0,2023.0,8.62,24806383.0,0.34749120821040297
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Kinshasa,-4.325,15.3222,649.383338556725,2024.0,62.074,2024,19.67350006,2024.0,44.7455804408753,2024,4.421,2024.0,22.1,2023.0,2.2,90047644.0,0.024431510945472378
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Brazzaville,-4.2767,15.2662,2482.2489948456,2024.0,66.001,2024,47.25159836,2024.0,63.8866111699904,2024,19.895,2024.0,51.3,2023.0,3.22,5483118.0,0.5872571044431288
COL,Colombia,Latin America & Caribbean,Upper middle income,Bogota,4.60987,-74.082,7919.20886825345,2024.0,77.913,2024,79.34543299,2024.0,78.5210811866115,2024,9.619,2024.0,98.7,2023.0,79.49,49024465.0,1.6214353384580535
COM,Comoros,Sub-Saharan Africa,Lower middle income,Moroni,-11.6986,43.2418,1662.75663312504,2024.0,67.023,2024,32.51750183,2024.0,33.5392215673301,2024,3.815,2024.0,89.8,2023.0,0.26,771590.0,0.3369665236718983
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,Praia,14.9218,-23.5087,5192.48157325878,2024.0,76.224,2024,74.73519897,2024.0,76.7721471004354,2024,11.883,2024.0,98.6,2023.0,0.62,513415.0,1.2076000895961356
CRI,Costa Rica,Latin America & Caribbean,High income,San Jose,9.63701,-84.0089,18587.1532203482,2024.0,80.996,2024,87.17019653,2024.0,79.3107672397967,2024,6.936,2024.0,100.0,2023.0,8.26,4957818.0,1.6660555107105586
CUB,Cuba,Latin America & Caribbean,Upper middle income,Havana,23.1333,-82.3667,9605.27914559614,2020.0,78.264,2024,70.47699738,2024.0,77.1664929228275,2024,1.755,2024.0,100.0,2023.0,24.97,11227118.0,2.2240792338692796
CUW,Curacao,Latin America & Caribbean,High income,Willemstad,,,22832.8953958667,2024.0,76.989,2024,,,91.4321812441765,2024,,,100.0,2023.0,,,
CYM,Cayman Islands,Latin America & Caribbean,High income,George Town,19.3022,-81.3857,99143.5180243123,2023.0,80.54,2024,,,100.0,2024,,,100.0,2023.0,,,
CYP,Cyprus,Europe & Central Asia,High income,Nicosia,35.1676,33.3736,38674.29296875,2024.0,81.821,2024,89.60099246,2024.0,66.6824259192483,2024,4.9,2024.0,100.0,2023.0,7.23,1270737.0,5.689611619084044
CZE,Czechia,Europe & Central Asia,High income,Prague,50.0878,14.4205,31823.3078290564,2024.0,79.9780487804878,2024,87.68776014,2024.0,72.7947984592185,2024,2.6,2024.0,100.0,2023.0,102.48,10629928.0,9.640704998190015
DEU,Germany,Europe & Central Asia,High income,Berlin,52.5235,13.4115,56103.7323182554,2024.0,80.7926829268293,2024,93.49999579,2024.0,82.0211432579125,2024,3.4,2024.0,100.0,2023.0,709.54,82905782.0,8.558389811702156
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Djibouti,11.5806,43.1425,3552.72335079222,2024.0,66.202,2024,65.29889679,2024.0,72.9052635052978,2024,26.007,2024.0,65.2,2023.0,0.49,1071882.0,0.4571398717396131
DMA,Dominica,Latin America & Caribbean,Upper middle income,Roseau,15.2976,-61.39,10405.2787777582,2024.0,71.294,2024,82.04689789,2024.0,73.5449839980866,2024,,,100.0,2023.0,0.18,68174.0,2.640302754715874
DNK,Denmark,Europe & Central Asia,High income,Copenhagen,55.6763,12.5681,71026.4832271897,2024.0,82.2536585365854,2024,99.76915157,2024.0,88.6960552688405,2024,5.358,2024.0,100.0,2023.0,33.38,5793636.0,5.761494163596057
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Santo Domingo,18.479,-69.8908,10875.6618443092,2024.0,73.868,2024,91.0022446,2024.0,72.4121874752151,2024,5.312,2024.0,99.6,2023.0,25.12,10782053.0,2.3297974884745978
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Algiers,36.7397,3.05097,5752.99076651465,2024.0,76.475,2024,77.4178009,2024.0,75.2792907190618,2024,11.655,2024.0,100.0,2023.0,151.67,42505035.0,3.568283145749674
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Quito,-0.229498,-78.5243,6874.705739766,2024.0,77.579,2024,77.17273115,2024.0,63.2376932397602,2024,3.453,2024.0,98.7,2023.0,39.53,17049547.0,2.3185366743175053
