country_code,country_name,region,income_level,log_gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct,log1p_co2_tons_per_capita_2018,z_log_gdp_per_capita,z_life_expectancy,z_internet_users_pct,z_urban_population_pct,z_unemployment_pct,z_electricity_access_pct,z_log1p_co2_tons_per_capita_2018
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,4.036455695657495,73.868,91.0022446,72.4121874752151,5.312,99.6,1.202911487871197,0.28288006448332037,0.0527498730968717,0.7835326071613088,0.5075413708218185,-0.26682993324552107,0.5530933400598781,-0.12478455919132403
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,3.7598936769883093,76.475,77.4178009,75.2792907190618,11.655,100.0,1.519137455053949,-0.1559659479844448,0.4208506985477532,0.2583609530284953,0.6426494925418083,0.8626233561114027,0.5703318274653716,0.2583257298844753
ECU,Ecuador,Latin America & Caribbean,Upper middle income,3.837254113654174,77.579,77.17273115,63.2376932397602,3.453,98.7,1.1995239250170877,-0.033211134012000064,0.576732290913604,0.24888660952001476,0.07520650930489471,-0.5978489565648529,0.5143067433975185,-0.12888861868986057
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,3.523547961091436,71.806,74.64839935,42.8004363938404,6.817,100.0,1.203031181831527,-0.5309971091116268,-0.23839853583282408,0.15129648832969597,-0.8878698610655563,0.0011548059129481622,0.5703318274653716,-0.12463954900082283
ESP,Spain,Europe & Central Asia,High income,4.548103909988967,83.8878048780488,95.7574516,80.315199821207,11.4,100.0,1.87521298399123,1.094758643205295,1.4675172096778206,0.967367880882082,0.879959474804804,0.8172173039616291,0.5703318274653716,0.6897140818256771
EST,Estonia,Europe & Central Asia,High income,4.497321647070096,79.2951219512195,92.23796204,70.6981161541961,7.6,100.0,2.5728476987205706,1.0141778255887817,0.8190437242923065,0.8313051760156055,0.4267682221136229,0.14057809545519487,0.5703318274653716,1.534904119855699
ETH,Ethiopia,Sub-Saharan Africa,Not classified,3.0545681662622433,67.603,21.94129944,23.6222839355469,3.357,55.4,0.13496809334856671,-1.2751698407075898,-0.8318499241604252,-1.8863485897884589,-1.7916127458956161,-0.6149429997271207,-1.3517595182471345,-1.4186065252909865
FIN,Finland,Europe & Central Asia,High income,4.725501366566918,82.3365853658537,93.72405196,74.2637190463636,8.4,100.0,2.2019635583727615,1.3762512603613724,1.2484895215709808,0.8887570907728141,0.5947921363532013,0.28302845514076,0.5703318274653716,1.085575016720526
FJI,Fiji,East Asia & Pacific,Upper middle income,3.8079232515718413,67.463,74.7052002,59.0766602292457,5.361,99.3,1.1221879183475543,-0.0797530703523994,-0.8516175173952253,0.15349239690051536,-0.12087619391552272,-0.2581048487147803,0.5401644745057582,-0.22258180946445086
FRA,France,Europe & Central Asia,High income,4.6637299786771065,82.9804878048781,88.65381638,78.7999750964116,7.4,100.0,1.7255058246778872,1.2782330025019335,1.339406675124766,0.6927428803129742,0.8085566862968707,0.10496550553380372,0.5703318274653716,0.5083426606479041
GAB,Gabon,Sub-Saharan Africa,Upper middle income,3.9154021103453673,68.511,68.72090149,91.8632094677575,20.091,94.1,1.1261584621768663,0.09079337280821094,-0.7036429623232942,-0.0778592963863844,1.4241428404712773,2.3647623989956865,0.3160641382343448,-0.21777146385056023
GBR,United Kingdom,Europe & Central Asia,High income,4.726289986218173,81.3868536585366,95.4720993,83.2429544416085,4.361,100.0,1.858274587857581,1.377502634613602,1.1143901639107203,0.9563362227066646,1.0179257055181261,-0.43616779832173663,0.5703318274653716,0.6691930794011912
GEO,Georgia,Europe & Central Asia,Upper middle income,3.965742055389542,74.657,83.79855689,61.0789605093733,11.557,100.0,1.2637146905712355,0.17067232457746145,0.16415438068442295,0.5050395989774757,-0.026520669555509503,0.8451731870499212,0.5703318274653716,-0.05112099268957622
GHA,Ghana,Sub-Saharan Africa,Lower middle income,3.3785382292633943,65.695,72.17569733,58.3654868038581,2.82,89.5,0.42253507341819024,-0.7610971889706634,-1.1012539805318418,0.05570236326287785,-0.15438921997327126,-0.7105628036660563,0.11782153307117178,-1.0702168283770095
GIN,Guinea,Sub-Saharan Africa,Lower middle income,3.22915785436844,60.904,33.30469894,38.0713036688655,5.132,51.1,0.21959885838605017,-0.9981325641788739,-1.7777292604456008,-1.4470420238532644,-1.1107234472442826,-0.29888126417477334,-1.5370732578561874,-1.3160756763949542
